俗名,拉丁学名,中文学名,目,bio_introduction
黄金灯,Hemigrammus rodwayi,罗氏半线脂鲤,脂鲤科,"

The gold tetra, or Rodway's tetra[1] (Hemigrammus rodwayi) is a species of small freshwater fish in the family Characidae native to lowland South America,[2] where they are abundant in coastal floodplains.[3] Their name comes from a powdery golden tint on their body that is thought to be caused by internal parasites.[4] Gold tetras are peaceful, hardy, schooling community fish.[5] Gold tetras have been successfully bred in captivity.[6]

The patronym was given by Marion Durban Ellis in honor of James Rodway (1848-1926), a renowned naturalist of British Guiana, who aided Carl Eigenmann’s collecting trips in South America.[7][8][9][10][11]



This Characidae-related article is a stub. You can help Wikipedia by expanding it."
公主灯,Hemigrammus ulreyi,黑带半线脂鲤,脂鲤科,"

Hyphessobrycon ulreyi Boulenger, 1895

Hemigrammus ulreyi, commonly known as Ulrey's tetra, is a Paraguayan tropical aquarium fish from the family Characidae named in honor of the biologist Albert B. Ulrey. It was originally named Tetragonopterus ulreyi in 1895.[2]

This aquarium fish suitable for a community aquarium can reach 5 cm (2.0 in) in length and does well at temperatures of 21 to 29 °C (70 to 84 °F).[3]

The breeding size is 4 cm (1.6 in). Dr. Herbert R. Axelrod, editor of Tropical Fish Hobbyist Magazine, and Dr. Leonard P. Schultz, retired curator of fishes at the Smithsonian Institution, wrote that the breeding of this species is a problem, since the species is nearly identical to Hyphessobrycon heterorhabdus and is difficult to spawn.[3]
"
绮丽灯,Hemigrammus schmardae,施氏半线脂鲤,脂鲤科,unk
银线灯,Hemigrammus marginatus,黄边半线脂鲤,脂鲤科,unk
一点灯,Hemigrammus stictus,斑半线脂鲤,脂鲤科,unk
血心扯旗,Hyphessobrycon erythrostigma,高鳍鲃脂鲤,脂鲤科,"

The bleeding heart tetra (Hyphessobrycon erythrostigma) is a freshwater tropical fish native to the Upper Amazon River basin.[2][3] It grows to the size of 2.5 in (64 mm) and lives for around five years.

The female is more full bodied and the male has a larger dorsal fin, whereas the male is distinguished by longer extended dorsal and anal fins. The dorsal fin is elongated into a sickle shape that arches to the length of the tail base. The female has a shorter rounded fin.

This egg-laying fish has been bred successfully, with difficulty, in captivity.[2]

The dorsal fin and anal fin of the males can become long and flowing.[2] Both sexes have the eye-catching blood-red spot in the pectoral area. Both also have the black and white patch on the dorsal fin.

A group of 6 fishes will feel comfortable in a 15-gallon tank, but a bigger tank (preferably 30 gallons) and more fishes are recommended.

According to the Encyclopedia of Aquarium and Pond Fish, it prefers water of 23–28 °C (73–82 °F) that is soft (50–100 mg/L) and acidic (pH 5.6-6.9), and a diet of prepared foods and small live foods.[2]  It is recommended that peat be added to the filter to help keep the water conditions suitable for it.[2]
"
银屏灯,Moenkhausia sanctaefilomenae,桑氏直线脂鲤,脂鲤科,"

The redeye tetra (Moenkhausia sanctaefilomenae), is a species of tetra from the São Francisco, upper Paraná, Paraguay and Uruguay river basins in eastern and central South America.[2][3] This freshwater fish is commonly kept in aquariums and bred in large numbers at commercial facilities in Eastern Europe and Asia.[4] The redeye tetra is one of the more popular aquarium fish due to their schooling capability.

It can grow up to 7 cm (2.8 in) in length,[4] and live for approximately 5 years.[3]  The red-eye tetra has a bright silver body accented by a white-edged black basal half of the tail and a thin red circle around its eye. It is part of a group that consists of three similar species, the two others being M. forestii (upper Paraguay and upper Paraná basins) and M. oligolepis (Amazon and Paraguay basins, and the Guianas).[5]

Yellow-banded tetra is another common name for the M. sanctaefilomenae. The fish has a yellow band on its caudal peduncle, which differentiates it from the glass tetra.[6]

Because of the redeye tetra's hardiness and ease of care, it is considered by aquarists to be an excellent beginner fish. It is readily available, peaceful, and is suitable for most community aquariums,[4] although it is quite active and may disturb slower, more timid species.

The redeye tetra is a schooling fish.[6] For this reason aquarists often keep it in groups of six or more.[2] Although generally peaceful, some redeye tetras have been known to be fin nippers on rare occasions, even when kept in groups. If kept alone it is more likely to nip the fins of other fish.[7] A fish tank with volume of about 110 litres (29 US G.) is commonly used.

The species is frequently kept at temperatures of 23–28 °C (73–82 °F) in hard water (100–150 mg/L) with neutral pH (7.0), in a tank with plants around the sides and to the rear and a clear area in the front.[6] Redeyes are reported to be adaptable to a range of water conditions.[6]

In the wild the redeye tetra feeds on worms, insects, crustaceans and plant matter.[2] In the aquarium, redeye tetras generally eat all kinds of live, fresh, and flake foods. It can be fed both prepared foods and live foods in captivity.[6]

Females are larger and have a more rounded abdomen than the males.[4] When attempting to breed them, a separate breeding tank with slightly acidic, very soft water (4 dGH or below) is often used,[4] with the tank densely planted.[6] The redeye tetra is free spawning, but will also lay eggs among the roots of floating plants.[4]

Once spawning has occurred, the mating pair are typically removed, as they will consume the eggs and hatchling fry.[4] The eggs typically hatch one day after they are laid. Aquarists initially feed the fry with infusoria, rotifers, or commercially prepared fry foods, then freshly hatched brine shrimp, and eventually finely crushed flake foods.[4]
"
钻石灯,Moenkhausia pittieri,闪光直线脂鲤,脂鲤科,"

The diamond tetra (Moenkhausia pittieri) is a small freshwater fish of the characin family (family Characidae) of order Characiformes. It is found in and around Lake Valencia in Venezuela, South America.

This species exhibits clear sexual dimorphism, with males having much longer dorsal fins than the females. Males also tend to be more brightly coloured, but both sexes are attractive fish and have become popular with aquarists. The dorsal and anal fins are purple and the body is silver. The eye is marked with red above the pupil, and there is a dark band running along the midline of the body. Their common name comes from the bright, iridescent scales along the flanks. This species very much resemble Metynnis and Myleus species.

Although the patronym was not identified, it is probably in honor of Swiss-born geographer-botanist Henri François Pittier (1857–1950), who lived in Venezuela and collected some specimens for Eigenmann.[1]

Diamond tetras are endemic to the northern area of Venezuela. They hail originally from the waters of Lake Valencia, located between the states Carabobo and Aragua, and its tributaries. They inhabit slow moving streams with abundant vegetation and leaf litter. These fish are threatened by urban growth, which destroys and pollutes their habitat. The species has seemingly disappeared completely from Lake Valencia, where they were collected initially. In 2009 the Venezuelan underwater photographer Ivan Mikolji was able to find and photograph a population of this fish in a stream nearby Lake Valencia.[2]

The diamond tetra is an omnivore. In the wild they eat whatever they can forage, with a preference for small animal food items, especially mosquito larvae.
In a home aquarium they eat most standard fish foods, such as flakes and pellets. They benefit from a variety of food such as live daphnia or frozen bloodworms.

A pair or group of diamond tetras will spawn in an aquarium with a shaded area, which can be created by including fine-leaved plants such as Java moss or a spawning mop. The fish should be well conditioned beforehand with nutritious food, preferably small live foods.

Soft acidic water in the pH range of 5.5–6.5 is preferred, and a temperature of around 26–29 °C (79–84 °F) is suitable.

The fish usually spawn in the early morning. If not removed from the tank, the adults will eat their eggs. It is recommended to remove them after spawning. The eggs normally hatch within 36 hours and the fry are usually free swimming in around 4 days.

Diamond tetra fry grow quickly. They can feed on pre-made fry foods, but suitably sized live foods will help at all stages of development.



This Characidae-related article is a stub. You can help Wikipedia by expanding it."
大钩黑尾灯,Moenkhausia costae,柯氏直线脂鲤,脂鲤科,unk
红眼钻石灯,Moenkhausia melogramma,黑纹直线脂鲤,脂鲤科,unk
血鳍灯,Aphyocharax anisitsi,安氏细脂鲤,脂鲤科,"

The bloodfin tetra (Aphyocharax anisitsi) is a species of characin from the Paraná River basin in South America.[2] The bloodfin is a relatively large tetra, growing to 5.5 cm.[3] Its notable feature (as the name suggests) is the blood-red colouration of the tail, dorsal, anal and adipose fin, while the body is silver in color.

Bloodfin tetras are extremely hardy, making them popular with novice fish keepers.

Bloodfin tetras are typically kept in schools of five or more. They swim mainly in the upper and middle water layers and are highly sociable fishes, mixing well with other types of tetras and tropical fish in general, so are often kept (like many other tetras) in a community tank. However, they will tend to nip at the fins of fish with long, wavy fins, such as angelfish or guppies. Bloodfin tetras have also been kept in cold-water tanks, provided the temperature does not drop below room temperature. They have been kept in temperatures ranging from 64 to 83 °F (18 to 28 °C). Tetras are adapted to soft, slightly acidic water, and soft water is essential for breeding. Bloodfin tetras can adapt to many water conditions in captivity, if the tap water is dechlorinated.[citation needed]

At the time of spawning the fish leaps above the water surface and leaves its eggs in the water. The eggs, being heavy, fall to the floor of the tank or water body. The female deposits 300–500 eggs.[citation needed]
"
飞凤灯,Aphyocharax paraguayensis,巴拉圭细脂鲤,脂鲤科,"

The dawn tetra, panda tetra, or [Rio] Paraguay tetra (Aphyocharax nattereri) comes from the Rio Paraguay basin in Paraguay and Brazil. It is a schooling fish; suitable temperatures for the Paraguay tetra are 24 to 27 °C (75 to 81 °F). This species is omnivorous with a strong preference for animal food. It will eat normal aquarium fish food, but much prefers live food.  The dawn tetra is an egg-scattering species.[3] This tetra is very active and extremely aggressive towards fish of similar or smaller size or those that are slower moving. Not suitable for the community tank.



This Characidae-related article is a stub. You can help Wikipedia by expanding it."
火兔灯,Aphyocharax rathbuni,拉氏细脂鲤,脂鲤科,unk
火灵灯,Tucanoichthys tucano,图卡诺脂鲤,脂鲤科,"颚相当大的，狭窄的， 组具有一个单列的锥形齿; 前颌骨具有一个两倍的弯曲，形成 "" S"" 。  侧线几乎非存在的; 前背的线宽广裸露; 眼窝后部的缺乏。"
迷你灯,Hasemania nana,银顶光尾裙鱼,脂鲤科,"

The silvertip tetra (Hasemania nana) is a species of characid freshwater fish omnivores native to streams and creeks in the São Francisco basin in Brazil, but frequently kept in aquariums.[2] Silvertip tetras are slightly more aggressive than other comparable smaller tetras, observed occasionally to nip other similarly sized tetras.

This small fish reaches up to 5 cm (2.0 in) in standard length.[2] The tetras are transparent with their gold colors and have a black stripe that runs along the mid to back section of their bodies. The males have brighters colors compared to the paler females. They are a social species of fish that can become territorial. They usually enjoy being with a school of their own kind.

The fish thrive in temperatures that range from 72–82 °F (22–28 °C). They live in slightly acidic waters that range from a pH of 6.0 - 8.0. They are common to find in pet stores and are relatively easy to care for. They can be affected by parasites and infections.

When they are preparing to breed, the male will be brightly colored while the female will be swollen. When they breed, the female scatters their eggs among vegetation while the male fertilizes them. The species have been known to eat their own eggs. The eggs will hatch after 1 and a half days.[3]

The genome was fully sequenced in 2013, by standard PCR, and found to be 16,581 base pairs long.[4]
"
血翅灯,Brittanichthys axelrodi,壮高脂鲤,脂鲤科,unk
月光灯,Serrapinnus kriegi,克氏锯鳍脂鲤,脂鲤科,unk
绿莲灯,Paracheirodon simulans,近拟唇齿脂鲤,脂鲤科,"

The green neon tetra (Paracheirodon simulans) is a freshwater fish of the family Characidae of order Characiformes. It is native to the upper Orinoco and Negro Rivers in South America.[2]

This fish is similar in appearance to the closely related and better-known neon tetra, but it is slightly smaller, and its red patch is less pronounced, while the blue-green areas of the upper body are more brilliant. Also, its body is slimmer than that of the neon tetra. It grows to a maximum overall length of about 3.5 cm (1.4 in).

Like the other Paracheirodon species, the green neon tetra is kept as an aquarium fish, but it is less commonly seen than either the neon tetra or the cardinal tetra.

P. simulans is also sometimes called the blue or false neon. Hyphessobrycon simulans and Cheirodon simulans are obsolete synonyms.

This fish loses its brilliant blue and red colors when lights are switched off, but regains them when lights are switched on again. The green neon tetra comes from extremely soft, acidic water at temperatures around 24 to 29 °C (75 to 84 °F).

For breeding, these tetras need water similar to the waters in which they live in the wild; extremely soft water with a pH of about 6 and a temperature of around 77 °F (25 °C). Ideally, the water should be highly stained by the tannins from peat,[3] in subdued light, shaded by plants. It spawns in a school, although in the actual act of spawning, one female may be closely associated with one or more males.

About 130 eggs a batch can be laid by each female. The parents should be removed after spawning. The eggs should hatch in 24 hours. The eggs are light sensitive so avoid light(?). The babies are very small, so feeding infusoria (protozoa) is necessary early on. As they grow, this can increasingly be supplemented with fine commercial fry foods. Adults can breed again after a few weeks.
"
露比灯,Axelrodia riesei,里氏阿克塞脂鲤,脂鲤科,"

The ruby tetra (Axelrodia riesei) is a species of freshwater fish in the family Characidae.
It is endemic to the Río Meta, Colombia, South America. In nature, it has a natural red colour, but this is somewhat lessened in captivity.  Ruby tetras grow up to 3 cm (1.2 in) to 3.5 cm (1.4 in) long.

Named in honor of tropical-fish exporter William Riese, who collected the type specimen.[1]



This Characidae-related article is a stub. You can help Wikipedia by expanding it."
萤火虫,Axelrodia stigmatias,眼点阿克塞脂鲤,脂鲤科,unk
钻眼灯,Astyanax bimaculatus,大头丽脂鲤,脂鲤科,"

Astyanax bimaculatus borealis (Eigenmann, 1908)
Astyanax bimaculatus incaicus (Tortonese, 1942)
Astyanax fasciatus bimaculatus (Linnaeus, 1758)
Poecilurichthys brevoortii (Gill, 1858)
Salmo bimaculatus (Linnaeus, 1758)
Tetragonopterus bahiensis (Steindachner, 1877)
Tetragonopterus bartlettii (Günther, 1866)
Tetragonopterus gronovii (Valenciennes, 1850)
Tetragonopterus linnaei (Valenciennes, 1850)
Tetragonopterus maculatus (Müller & Troschel, 1845)
Tetragonopterus orientalis (Cope, 1870)
Tetragonopterus vittatus (Castelnau, 1855)
Tetragonopterus wappi (Valenciennes, 1850)

The twospot astyanax (Astyanax bimaculatus),[2][4] also called the two-spot tetra, is a small species of freshwater fish native to South America. It is a middlingly common tetra in the aquarium industry, with hobbyist reports of its sale and presence, and it is also a well-studied member of the genus Astyanax in wild settings. Amateur aquarists report peaceful schooling behavior in captivity, though fish in wild schools may turn on one another if presented with the threat of a predatory species.

Its very earliest report was by prolific taxonomist Carl Linnaeus in 1758, in the 10th edition of Systema Naturae. Linnaeus designated it a member of genus Salmo, and since then it has also been considered a member of the genus Tetragonopterus before being placed in Astyanax. Currently, A. bimaculatus is at the center of a species complex, and specific species relationships are still being deciphered in modern ichthyological studies. As it stands, no monophyly can be guaranteed from A. bimaculatus.

Astyanax bimaculatus is omnivorous, eating plants, zooplankton, and various forms of detritus. It is also known to occasionally target other fish to eat their scales. In turn, A. bimaculatus is regularly preyed upon by Hoplias malabaricus, the trahira, as well as various heron species (genus Ardea). It is also host to a variety of parasites, most often flukes (Monogenea). Further, A. bimaculatus is a farmed fish for human use, such as consumption or bait.

When first described by Carl Linnaeus in 1758, A. bimaculatus was given the name Salmo bimaculatus.[5][6] Throughout the 1800s, various species were named under the genus Tetragonopterus, all of which were later found to be synonymous with A. bimaculatus.[2][3] In 1912, A. bimaculatus was momentarily considered a species of genus Poecilurichthys.[7][8] The species Tetragonopterus caudomaculatus, today known as Bryconops caudomaculatus,[9] was once mistakenly identified as being a possible synonym or otherwise close relative.[10]

Astyanax bimaculatus is at the center of a species complex and species subgroup bearing its name. The subgroup in question is made up of at least 20 species, all of which are characterized by various morphological similarities.[11] These species include - but are not limited to - A. argyrimarginatus, A. clavitaeniatus, A. goyacensis, A. novae, A. rupununi, A. saltor, A. siapae, A. unitaeniatus, A. utiariti, A. validus, A. abramis, A. maculisquamis, A. borealis, and A. orbignyanus.[12] In past studies of species in this group, it has been simpler for researchers to ignore designations and consider all examined specimens to be examples of A. bimaculatus, delineating by region instead of name.[11]

In terms of genetic information, A. bimaculatus is a notably variable species. Chromosomal study reveals a distinct - and complex - cytotype, or arrangement and number of chromosomes, for populations in different regions.[11][13] Genetic diversity in the species is not lowered by the presence of waterfalls or dams that separate different populations.[14] An interesting factor in the chromosomal makeup of A. bimaculatus, specifically populations in the Amazon region, is the presence of a B microchromosome, a particularly small type of chromosome present in some birds, reptiles, and fish;[13] little is known regarding the origin and evolution of B microchomosomes.[15]

In genetic studies, many animals are diploid, which means that chromosomes arrange themselves in pairs. When the variable ""n"" represents chromosome sets, then a diploid animal's chromosome number is represented by ""2n"". For A. bimaculatus, which is indeed diploid, this number is 2n=50.[16] (To compare, this number is 2n=46 in humans.) The chromosome number 2n=50 is shared by various other species in the A. bimaculatus complex, such as A. lacustris, A. altiparanae, A. asuncionensis, and A. jacuhiensis.[17]

The genus name Astyanax originates in the Iliad, originating from the son of prince Hector, the Trojan warrior Astyanax. The specific reason for this allusion was not made clear in the nominal text, but the large, armor-like scales of type species Astyanax argentatus may be responsible. The specific name bimaculatus means ""two-spotted"", in reference to the distinct pair of markings - the humeral spot and the spot on the caudal peduncle.[18] These two spots also earn A. bimaculatus the common name ""twospot astyanax"".[19]

Astyanax bimaculatus reaches a maximum total length of 17.5 cm (6.9 in), and a maximum weight of 91.6 g (3.23 oz).[2] The scales are large, and lack distinct radii originating from a single point in the center of each; the presence of such lines was a trait once ascribed to A. bimaculatus,[20] but has since been recognized as a trait of congener A. abramis instead.[21] There are 33 lateral-line scales, 26–27 dorsal-fin rays, and 26–30 anal-fin rays.[22][23] Before taxonomic revisions, the reported variation in the numbers of fin-rays and lateral-line scales was much greater, due to separate species all being grouped under a single name.[8][24]

The back is dark-green, the sides a silver-yellow, and there is a clear silver lateral stripe. The base of the dorsal fin and the upper lobe of the caudal fin may be strongly red, pink, or yellow, with reduced coloration in the rest of the fin.[25] There is a strong black humeral spot, and another strong blotch of pigment at the base of the caudal fin that extends onto the middle caudal-fin rays; these two spots are shared amongst all members of the A. bimaculatus species complex, which is often considered one of the defining characteristics therein, even if a small handful of species do not conform, including A. elachylepis and A. varzeae.[26] Markings also characteristic of this complex include two brown vertical bars in the humeral region.[27]

Female specimens of A. bimaculatus are larger than males.[28] Bony hooks also develop on the anal and pelvic fins of sexually mature males during spawning season, then regress afterwards.[29]

Astyanax bimaculatus is an omnivorous fish with a leaning towards plant matter. Roughly 60% of the diet is vegetal in nature, and 40% of animals; of these, dicots are the most prevalent in plants, and insects the most prevalent in animals.[30] However, when presented with a shortage of food, A. bimaculatus is remarkably capable of changing its dietary composition.[31] As a further demonstration of adaptability, A. bimaculatus has been recorded following around another fish species - namely Corydoras polystictus - to take advantage of the invertebrates, detritus, and algae that C. polystictus flushes out during its foraging activity.[32]

Because it mostly eats plant matter, it serves an important role in the food chain, transferring that energy up into the animals that prey upon it. This role also allows it to transmit disease to its predators.[33]

Astyanax bimaculatus has an enormous distribution. The rivers and basins it can be found in include, but are not limited to: the Amazonas estuaries and the main channel, Apure, Araguaia, Atrato, Beni-Madre de Dios, Branco, Cauca-Magdalena-Sinu, Coppename, Suriname, Saramacca, Corentyne-Demerara, Essequibo, Guapore, Itapicuru-Mearim, lapura, middle-lower Madeira, Mamore, Maroni-Approuague, Oiapoque, Orinoco (upper and lower), Parnaiba, Purus, Putumayo, upper Tocantins, Ucayali, and upper Xingu.[34]

Though considered sedentary, A. bimaculatus (and members of its species complex) can undertake short-distance migrations if necessary.[35]

Because of its remarkable range, A. bimaculatus is tolerant of a wide range of conditions. However, it remains entirely potamodromous (freshwater), and seems to have a preference for water with a pH of 5.5–7.5.[2] Nonetheless, it can stay alive for long periods of time in suboptimal conditions; one example, documented by zoologist William Beebe in 1942, was a wide variety of aquatic life stranded in a pond that had been reduced to a mud puddle in the severe dry season of Caripito, Venezuela. Of 32 A. bimaculatus individuals trapped therein, 12 remained alive in surroundings that should not have sustained them for as long as had already been endured.[25]

The native range of A. bimaculatus ensures that it will overlap with a great deal of other aquatic species. Its relatively peaceful nature means that it can often coexist without incident, and its dietary flexibility means that ecological competition is unnecessary; if one food item is scarce, it can simply shift targets. As such, environments with high species diversity are not of issue for A. bimaculatus.[31]

One of the most comprehensive lists of species found alongside A. bimaculatus came as a result of William Beebe's discovery of a drying-up pond in Venezuela. Fascinated by the circumstances and by just how many animals had remained alive in such poor conditions, Beebe made an annotated list of all of the species he and his colleagues could identify. Fish species found therein with A. bimaculatus include, but are certainly not limited to: Ochmacanthus flabelliferus, Callichthys callichthys, Hoplosternum littorale, Farlowella acus, Copella arnoldi, Creagrutus beni, Erythrinus erythrinus, Gephyrocharax valencia, Hoplerythrinus unitaeniatus, Pristella maxillaris, and Serrasalmus eigenmanni. Also in the same location were Pipa pipa, the common Surinam toad, and Rhinoclemmys punctularia, the spot-legged wood turtle.[25]

Astyanax bimaculatus has further been collected at turbid-water sites that host Crenicichla britskii, Aphyocheirodon hemigrammus, Hemigrammus marginatus, Hyphessobrycon eques, Gymnocorymbus thayeri, Ctenobrycon hauxwellianus, and Pyrrhulina vittata.[36][37]

Astyanax bimaculatus is a host to various parasites that colonize different parts of the body. Creptotrema dissimilis is a species of trematode (flatworm) that inhabits the intestines. Magnivitellinum simplex, another intestinal trematode, was first described from A. bimaculatus in Brazil.[38] Parasitic isopod Livoneca lazzari was also first described from A. bimaculatus, this time from the gill cavity.[39] The parasites most likely to infect A. bimaculatus come from Monogenea, a class of parasitic flatworms, and infections are more common during the rainy seasons.[40]

Eukaryotic microparasites of the genus Myxobolus have been found inhabiting the gill filaments of A. bimaculatus, but the disease it causes is asymptomatic for A. bimaculatus.[41]

Astyanax bimaculatus can reach up to 18 years of age.[2]

Astyanax bimaculatus is capable of year-round reproduction, though they are less likely to be in an active reproductive or maturation state during May, June, and July. In times of scarcity, energy resources can be diverted from the bodily fat or from the liver to the gonads of female specimens; males do not use the same strategy.[42] Males also demonstrate reproductive morphology considered to be more ""primitive"" in phylogeny, including how the sperm cells are formed and carried.[43] The peak of the spawning period, while it may depend on location, has been recorded in January and February.[44]

Female specimens exposed to a chemical signal called ""conspecific alarm substance"", released by other A. bimaculatus in stressful situations like a predator attack, ovulate earlier than those not exposed - but they only ovulate once, and the generated zygotes may not develop.[45] In normal spawning conditions, larger females can lay larger numbers of eggs, simply because they have more space to carry them.[44] The eggs of A. bimaculatus are weakly adhesive, and are laid in environments of low current.[46]

Spawning has been achieved in captivity.[47]

Wastewater, animal pollutants, and pesticides can all have a negative impact on a given aquatic environment. Specifically, these factors may be genotoxic, which means that they can damage cell ""building blocks"" and lead to harmful mutations (such as cancer). A. bimaculatus can be used as a biological indicator (bioindicator) of pollutants that may be genotoxic, based upon the formation of micronuclei in the red blood cells.[48] The presence of a micronucleus results from a chromosome (or chromosome fragment) that is not carried into one of the nuclei that forms during cell division, essentially being ""left behind""; this is a sign of genotoxicity.

Enzymes from kidney, gill and brain tissues of A. bimaculatus can also be tested to measure environmental impact. The enzymes that are higher or lower depend on factors from the surrounding environment, such as low oxygen, so measurements therein can indicate changes in water parameters and various pollutants.[49]

Astyanax bimaculatus is generally non-competitive and will make changes in its own behavior so that its niche is not interfered with by sympatric species; this includes environment usage and components of dietary intake.[50] Generally, it swims in schools, which increases survival for many animal species that live in groups. Laboratory testing has introduced a caveat to this, however. It displays conspecific aggression when faced with the threat of an active, chasing predator. Because predators are known to target the weakest or most isolated of a group, purposefully wounding a group member gives the predator in question an easy target, which increases the survival chances of the others.[51]

Astyanax bimaculatus is kept in captivity both by hobbyists and by scientists. In hobbyist circles, A. bimaculatus is a species known to need ample swimming space, and should not be paired with more retiring fish given its ""rambunctious"" habits.[52] Generally, however, it is non-aggressive.[53]

Researchers have experimented with using lactic acid bacteria from the intestinal tract of A. bimaculatus as a probiotic supplement for captive fish. Preliminary laboratory results are promising.[54] In turn, turmeric (Curcuma longa) has been shown to have positive histological effects on A. bimaculatus, resulting in decreased parasite activity.[55] Various anesthetics have been tested for efficacy on A. bimaculatus, which can help reduce stress levels during aquacultural procedures in captivity. An organic compound called 2-phenoxyethanol, as well as the essential oils of tea trees (Melaleuca alternifolia) and African basil (Ocimum gratissimum), have all proven effective on captive specimens; such results can be used to inform similar tests on other captive fish to ensure welfare.[56]

Astyanax bimaculatus has been evaluated by the IUCN Red List as ""Least Concern"".[1] There is almost no risk of it becoming endangered, as it is remarkably widespread and incredibly adaptable. The construction of hydroelectric dams in its native range, for example, has not depressed population numbers; in one study, populations from above and below a dam simply developed different morphological properties to cope with the changes in flow, environment, and food availability.[57] Changes in accessible dietary components also do not impede A. bimaculatus populations, as they are prepared to take advantage of whatever food sources may be nearby, given opportunistic feeding habits.[31]
"
甘迪灯,Astyanax kennedyi,肯氏丽脂鲤,脂鲤科,unk
利氏灯,Astyanax leopoldi,利氏丽脂鲤,脂鲤科,unk
银板灯,Brachychalcinus orbicularis,圭亚那蜥脂鲤,脂鲤科,"

Brachychalcinus orbicularis, or the discus tetra, is an omnivorous characin found in rivers, creeks, and tributaries in tropical South America.[1]

https://www.iucnredlist.org/species/175960637/175960674



This Characidae-related article is a stub. You can help Wikipedia by expanding it."
九间跳鲈,Characidium fasciatum,线纹溪脂鲤,脂鲤科,"

Characidium fasciatum, the darter characin,  is a fish in the family Characidae.[2]

This Characiformes-related article is a stub. You can help Wikipedia by expanding it."
龙王灯,Corynopoma riisei,剑尾脂鲤,脂鲤科,"

Corynopoma riisei, also known as the sword-tail characin, is a species of characin found in Colombia, Trinidad and Tobago and Venezuela.[2] It is also kept as an aquarium fish. This species is the only member of the genus Corynopoma.[3]

Corynopoma riisei have pronounced sexual dimorphism, the females being more aggressive and dominant than males.[4][5] Males have a grey-black, flag-like ornament that extends from the operculum on each side of the body.[4][5] This flag is normally held close to the body, but when trying to mate a male will extend the ornament and wave it in front of a female.[6][4][5] During courtship the flag is displayed by the males one at a time and at a right angle from its body, they will perform both ornament displays and zigzags.[5] Courtship may extend over several days in swordtail characin.[5]

The flag-like ornament is used as a food mimic to attract females.[4][5] The females will try to bite at the ornament, which is then often damaged during courtship and can possibly take up to weeks to regenerate.[6][4] Studies have shown that unfed females will respond more to the male ornament and show a preference for the larger flags than those that had been fed.[6]

This is an example of sensory exploitation because the males are exploiting the females' pre-existing bias to seem more attractive and have more opportunities to mate.[6] Males lack external gonopodia so in order for internal fertilization to occur in the female, they need to be within close proximity for the sperm to transfer successfully.[5][6] The males use this food mimic to get them within close proximity of females, and will show different ornament displays based on the attractiveness of their ornaments.[4] Males that do not show an overall large ornament size or symmetry can compensate by displaying or zigzagging their flags more often.[5] The males may also be using the hooks on the anal fin to direct the sperm for transfer.[7]

Females store viable sperm internally for up to ten months and will mate with multiple different males in their lifetime.[8] These females would be receiving indirect benefits for the offspring as they are not directly choosing which males they want to be inseminated by but are selecting a food-mimic which can be related to male attractiveness. This attractive quality could then be passed on to offspring.

This species could also be used as an example of sensory drive, males are shown to have morphological differences based on their location and prey available, the females prefer the males whose flag ornament best resembles prey items of the population they live in.[4][9] It has been demonstrated that the flag resembles an ant, because that is the most common natural prey of the swordtail characin.[4] This plasticity in mate choice can also been shown in a laboratory setting when food colour was altered the females also changed the preference for males to have a flag that matches the colour of food.[4]

Recently it has been hypothesized that the males caudal pheromone gland is used to release pheromones that decrease stress in females and increase activity.[8] This could potentially aid the males in gaining access to females and facilitating the sperm transfer.[8]
"
银带灯,Gnathocharax steindachneri,斯氏颌脂鲤,脂鲤科,"

Gnathocharax steindachneri, also known as the arowana tetra,[2] is a species of characin fish found in tropical freshwater habitats in the Orinoco and Amazon Basins of South America. It is also found as an aquarium fish.[3]  It is the sole member of its genus.[4]  It reaches up to 5 cm (2.0 in) in length.[3]



This Characiformes-related article is a stub. You can help Wikipedia by expanding it."
红头剪刀,Hemigrammus bleheri,布氏半线脂鲤,脂鲤科,"

Petitella bleheri is a species of characin found in Amazon Basin in Brazil and Peru. It is one of three species commonly referred to as the rummy-nose tetra, and is also known as the  firehead tetra.[2]

The specific name, bleheri, honors the species’ discoverer, Heiko Bleher.[3]

The mitochondrial genome of Petitella bleheri was fully sequenced in 2015 using standard polymerase chain reaction (PCR) techniques, and found to be 17,021 base pairs long.[4]

This species is found in the Rio Negro and Rio Meta basins.[2]

Omnivorous and will accept just about anything offered. Species does have a small mouth so correspondingly sized foods are best. Feed a mixture of dried flakes and granules and small live and frozen foods. A varied diet such as this is essential for the best colour development.[citation needed]

This species is common in the aquarium trade. Between the years of 2006 to 2015, 7,178,906 specimens of Petitella bleheri were exported from the Amazonas state of Brazil, accounting for 5.04% of all fish exported from Amazonas for the ornamental fish trade during that time.[5]



This Characidae-related article is a stub. You can help Wikipedia by expanding it."
